GEO_ID,NAME,C17018_001E,C17018_001M,C17018_002E,C17018_002M,C17018_003E,C17018_003M,C17018_004E,C17018_004M,C17018_005E,C17018_005M,C17018_006E,C17018_006M,C17018_007E,C17018_007M,C17018_008E,C17018_008M,C17018_009E,C17018_009M,C17018_010E,C17018_010M,C17018_011E,C17018_011M,Unnamed: 24
Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Income in the past 12 months below poverty level:,Margin of Error!!Total:!!Income in the past 12 months below poverty level:,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Less than high school graduate,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Less than high school graduate,Estimate!!Total:!!Income in the past 12 months below poverty level:!!High school graduate (includes equivalency),Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!High school graduate (includes equivalency),"Estimate!!Total:!!Income in the past 12 months below poverty level:!!Some college, associate's degree","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Some college, associate's degree",Estimate!!Total:!!Income in the past 12 months below poverty level:!!Bachelor's degree or higher,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Bachelor's degree or higher,Estimate!!Total:!!Income in the past 12 months at or above poverty level:,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Less than high school graduate,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Less than high school graduate,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!High school graduate (includes equivalency),Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!High school graduate (includes equivalency),"Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Some college, associate's degree","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Some college, associate's degree",Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Bachelor's degree or higher,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Bachelor's degree or higher,
0500000US51003,"Albemarle County, Virginia",30371,1599,1571,772,36,66,1041,634,201,207,293,213,28800,1701,916,450,3911,1062,4016,898,19957,1662,
0500000US51013,"Arlington County, Virginia",50121,3010,2196,809,283,311,399,350,381,433,1133,622,47925,2863,1946,711,3830,1168,4600,1275,37549,2540,
0500000US51015,"Augusta County, Virginia",20839,1627,1393,678,188,184,1003,634,126,145,76,74,19446,1563,1091,593,6240,1152,5875,1233,6240,1063,
0500000US51019,"Bedford County, Virginia",23560,1359,1707,710,115,147,898,588,397,258,297,294,21853,1459,764,427,4604,1052,7808,1414,8677,1425,
0500000US51041,"Chesterfield County, Virginia",104013,3102,4604,1284,1083,694,604,378,2064,952,853,468,99409,3304,3279,928,14947,2099,31440,2677,49743,3040,
0500000US51059,"Fairfax County, Virginia",289913,4476,10778,1690,3871,1302,1557,785,1592,768,3758,918,279135,4532,16471,2561,19740,2817,41257,3508,201667,5051,
0500000US51061,"Fauquier County, Virginia",20417,1260,689,400,0,216,152,154,422,321,115,141,19728,1239,1261,499,4148,899,5789,1071,8530,1157,
0500000US51069,"Frederick County, Virginia",24120,1780,1035,603,55,94,189,202,367,292,424,380,23085,1654,1859,805,4415,968,6872,1261,9939,1614,
0500000US51085,"Hanover County, Virginia",32063,1704,1051,487,73,119,689,462,76,126,213,211,31012,1628,978,480,4800,1003,8988,1195,16246,1479,
