Div Num,Div Name,Subject,Grade,Test,2021-2022 Pass Rate,2022-2023 Pass Rate,2023-2024 Pass Rate,2021-2022 Adv Pass Rate,2022-2023 Adv Pass Rate,2023-2024 Adv Pass Rate
1,Accomack County ,English: Reading,Gr 3,English Reading,55,53,54,5,4,5
1,Accomack County ,English: Reading,Gr 4,English Reading,62,65,63,8,9,9
1,Accomack County ,English: Reading,Gr 5,English Reading,60,64,61,5,4,5
1,Accomack County ,English: Reading,Gr 6,English Reading,66,68,69,6,9,7
1,Accomack County ,English: Reading,Gr 7,English Reading,71,63,66,8,8,7
1,Accomack County ,English: Reading,Gr 8,English Reading,73,73,66,7,8,6
1,Accomack County ,English: Reading,End of Course,English Reading,82,84,82,17,15,18
1,Accomack County ,English: Writing,Gr 8,Writing,56,54,81,8,12,10
1,Accomack County ,English: Writing,End of Course,Writing,70,69,65,14,10,7
1,Accomack County ,History and Social Sciences,Content Specific,Civics & Econ,73,73,76,8,12,14
1,Accomack County ,History and Social Sciences,Content Specific,VA Studies,54,66,60,12,17,16
1,Accomack County ,History and Social Sciences,End of Course,Geography,54,52,71,4,1,2
1,Accomack County ,History and Social Sciences,End of Course,VA & US History,16,19,31,0,0,1
1,Accomack County ,History and Social Sciences,End of Course,World History I,38,59,57,3,5,0
1,Accomack County ,History and Social Sciences,End of Course,World History II,26,0,36,3,0,5
1,Accomack County ,Mathematics,Gr 3,Mathematics,53,55,50,3,4,5
1,Accomack County ,Mathematics,Gr 4,Mathematics,50,57,59,3,5,4
1,Accomack County ,Mathematics,Gr 5,Mathematics,56,63,56,2,4,6
1,Accomack County ,Mathematics,Gr 6,Mathematics,63,67,71,5,8,9
1,Accomack County ,Mathematics,Gr 7,Mathematics,63,53,59,4,3,2
1,Accomack County ,Mathematics,Gr 8,Mathematics,64,71,66,4,6,4
1,Accomack County ,Mathematics,End of Course,Algebra I,83,87,89,8,7,3
1,Accomack County ,Mathematics,End of Course,Algebra II,0,0,0,0,0,0
1,Accomack County ,Mathematics,End of Course,Geometry,90,96,98,14,4,5
1,Accomack County ,Mathematics,End of Course,Mathematics,0,0,0,0,0,0
1,Accomack County ,Science,Gr 5,Science,53,60,59,10,9,12
1,Accomack County ,Science,Gr 8,Science,59,63,56,3,4,3
1,Accomack County ,Science,End of Course,Biology,67,68,72,7,6,4
1,Accomack County ,Science,End of Course,Chemistry,0,0,0,0,0,0
1,Accomack County ,Science,End of Course,Earth Science,85,22,53,8,0,0
1,Accomack County ,Science,End of Course,Science,0,0,0,0,0,0
2,Albemarle County ,English: Reading,Gr 3,English Reading,66,64,70,14,13,15
2,Albemarle County ,English: Reading,Gr 4,English Reading,74,73,74,21,21,21
2,Albemarle County ,English: Reading,Gr 5,English Reading,72,72,73,12,14,15
2,Albemarle County ,English: Reading,Gr 6,English Reading,76,71,75,21,17,21
2,Albemarle County ,English: Reading,Gr 7,English Reading,77,77,73,19,21,14
2,Albemarle County ,English: Reading,Gr 8,English Reading,74,77,76,20,19,21
2,Albemarle County ,English: Reading,End of Course,English Reading,86,85,84,34,34,33
2,Albemarle County ,English: Writing,Gr 8,Writing,66,64,,24,23,
2,Albemarle County ,English: Writing,End of Course,Writing,73,81,78,33,32,33
2,Albemarle County ,History and Social Sciences,Content Specific,Civics & Econ,73,78,78,23,24,23
2,Albemarle County ,History and Social Sciences,Content Specific,VA Studies,59,69,69,15,24,24
2,Albemarle County ,History and Social Sciences,End of Course,Geography,75,0,0,7,0,0
2,Albemarle County ,History and Social Sciences,End of Course,VA & US History,43,43,0,6,0,0
2,Albemarle County ,History and Social Sciences,End of Course,World History I,71,8,0,12,0,0
2,Albemarle County ,History and Social Sciences,End of Course,World History II,37,0,0,3,0,0
2,Albemarle County ,Mathematics,Gr 3,Mathematics,61,64,69,12,13,13
2,Albemarle County ,Mathematics,Gr 4,Mathematics,66,69,72,17,19,22
2,Albemarle County ,Mathematics,Gr 5,Mathematics,63,69,71,13,17,20
2,Albemarle County ,Mathematics,Gr 6,Mathematics,68,68,71,19,18,23
2,Albemarle County ,Mathematics,Gr 7,Mathematics,56,53,53,2,3,3
2,Albemarle County ,Mathematics,Gr 8,Mathematics,38,44,50,1,2,4
2,Albemarle County ,Mathematics,End of Course,Algebra I,77,80,83,10,11,10
2,Albemarle County ,Mathematics,End of Course,Algebra II,76,88,89,13,13,12
2,Albemarle County ,Mathematics,End of Course,Geometry,84,81,85,17,15,14
2,Albemarle County ,Mathematics,End of Course,Mathematics,39,0,57,17,0,0
2,Albemarle County ,Science,Gr 5,Science,54,63,65,9,18,24
2,Albemarle County ,Science,Gr 8,Science,63,69,69,8,14,13
2,Albemarle County ,Science,End of Course,Biology,69,70,75,11,10,10
2,Albemarle County ,Science,End of Course,Chemistry,77,67,45,21,6,6
2,Albemarle County ,Science,End of Course,Earth Science,60,63,60,4,3,4
2,Albemarle County ,Science,End of Course,Science,44,0,57,22,0,0
101,Alexandria City ,English: Reading,Gr 3,English Reading,59,60,56,10,10,10
101,Alexandria City ,English: Reading,Gr 4,English Reading,60,60,64,12,13,13
101,Alexandria City ,English: Reading,Gr 5,English Reading,61,59,62,10,8,10
101,Alexandria City ,English: Reading,Gr 6,English Reading,56,53,57,11,10,10
101,Alexandria City ,English: Reading,Gr 7,English Reading,64,55,58,12,10,8
101,Alexandria City ,English: Reading,Gr 8,English Reading,60,59,56,12,12,10
101,Alexandria City ,English: Reading,End of Course,English Reading,68,75,72,22,26,21
101,Alexandria City ,English: Writing,Gr 8,Writing,57,54,,16,15,
101,Alexandria City ,English: Writing,End of Course,Writing,68,82,71,22,35,33
101,Alexandria City ,History and Social Sciences,Content Specific,Civics & Econ,69,72,67,19,21,18
101,Alexandria City ,History and Social Sciences,Content Specific,VA Studies,59,63,62,19,19,19
101,Alexandria City ,History and Social Sciences,End of Course,Geography,90,94,94,5,11,13
101,Alexandria City ,History and Social Sciences,End of Course,VA & US History,30,30,57,0,1,1
101,Alexandria City ,History and Social Sciences,End of Course,World History I,43,48,32,3,5,0
101,Alexandria City ,History and Social Sciences,End of Course,World History II,17,14,18,1,1,6
101,Alexandria City ,Mathematics,Gr 3,Mathematics,50,58,56,7,8,9
101,Alexandria City ,Mathematics,Gr 4,Mathematics,45,49,57,2,2,10
101,Alexandria City ,Mathematics,Gr 5,Mathematics,47,58,52,5,7,2
101,Alexandria City ,Mathematics,Gr 6,Mathematics,44,44,49,7,5,8
101,Alexandria City ,Mathematics,Gr 7,Mathematics,46,49,49,5,6,6
101,Alexandria City ,Mathematics,Gr 8,Mathematics,50,29,38,0,0,6
101,Alexandria City ,Mathematics,End of Course,Algebra I,49,58,64,3,5,5
101,Alexandria City ,Mathematics,End of Course,Algebra II,88,66,73,8,11,22
101,Alexandria City ,Mathematics,End of Course,Geometry,54,45,48,4,4,3
101,Alexandria City ,Mathematics,End of Course,Mathematics,71,0,0,12,0,0
101,Alexandria City ,Science,Gr 5,Science,51,59,59,13,14,19
101,Alexandria City ,Science,Gr 8,Science,46,48,46,4,6,4
101,Alexandria City ,Science,End of Course,Biology,53,56,60,8,5,4
101,Alexandria City ,Science,End of Course,Chemistry,34,24,14,6,0,0
101,Alexandria City ,Science,End of Course,Earth Science,26,30,30,0,0,0
101,Alexandria City ,Science,End of Course,Science,75,0,0,13,0,0
3,Alleghany Highlands ,English: Reading,Gr 3,English Reading,69,69,67,9,9,7
3,Alleghany Highlands ,English: Reading,Gr 4,English Reading,62,67,71,6,9,12
3,Alleghany Highlands ,English: Reading,Gr 5,English Reading,75,61,68,7,6,5
3,Alleghany Highlands ,English: Reading,Gr 6,English Reading,64,65,51,5,3,6
3,Alleghany Highlands ,English: Reading,Gr 7,English Reading,70,65,60,4,5,4
3,Alleghany Highlands ,English: Reading,Gr 8,English Reading,63,58,58,4,6,5
3,Alleghany Highlands ,English: Reading,End of Course,English Reading,81,81,67,19,17,11
3,Alleghany Highlands ,English: Writing,Gr 8,Writing,45,45,,5,4,
3,Alleghany Highlands ,English: Writing,End of Course,Writing,55,55,100,7,4,0
3,Alleghany Highlands ,History and Social Sciences,Content Specific,Civics & Econ,75,69,62,23,15,5
3,Alleghany Highlands ,History and Social Sciences,Content Specific,VA Studies,66,61,62,13,13,22
3,Alleghany Highlands ,History and Social Sciences,End of Course,Geography,50,43,74,2,1,3
3,Alleghany Highlands ,History and Social Sciences,End of Course,VA & US History,29,18,22,0,0,0
3,Alleghany Highlands ,History and Social Sciences,End of Course,World History I,52,56,47,4,3,3
3,Alleghany Highlands ,History and Social Sciences,End of Course,World History II,44,11,7,4,0,0
3,Alleghany Highlands ,Mathematics,Gr 3,Mathematics,70,73,76,10,12,13
3,Alleghany Highlands ,Mathematics,Gr 4,Mathematics,56,65,71,3,7,8
3,Alleghany Highlands ,Mathematics,Gr 5,Mathematics,72,63,72,10,8,10
3,Alleghany Highlands ,Mathematics,Gr 6,Mathematics,50,52,40,1,1,0
3,Alleghany Highlands ,Mathematics,Gr 7,Mathematics,55,56,46,3,1,1
3,Alleghany Highlands ,Mathematics,Gr 8,Mathematics,45,35,28,2,1,1
3,Alleghany Highlands ,Mathematics,End of Course,Algebra I,74,69,68,1,2,2
3,Alleghany Highlands ,Mathematics,End of Course,Algebra II,,0,0,,0,0
3,Alleghany Highlands ,Mathematics,End of Course,Geometry,81,65,69,2,2,0
3,Alleghany Highlands ,Mathematics,End of Course,Mathematics,0,0,58,0,0,25
3,Alleghany Highlands ,Science,Gr 5,Science,64,57,65,10,8,11
