2022-2023 Division Subject-Area Participation Rates,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Level,Div Num,Div Name,Subject,Subgroup,Number Tested,Number of Students,2022-2023 Participation Rate
Div,1,Accomack County ,English: Reading,All Students,2382,2394,99
Div,1,Accomack County ,Mathematics,All Students,2182,2198,99
Div,1,Accomack County ,Science,All Students,1026,1042,98
Div,1,Accomack County ,English: Reading,Asian,18,18,100
Div,1,Accomack County ,Mathematics,Asian,15,15,100
Div,1,Accomack County ,Science,Asian,10,10,100
Div,1,Accomack County ,English: Reading,Black,817,821,100
Div,1,Accomack County ,Mathematics,Black,740,744,99
Div,1,Accomack County ,Science,Black,337,343,98
Div,1,Accomack County ,English: Reading,Economically Disadvantaged,1594,1599,100
Div,1,Accomack County ,Mathematics,Economically Disadvantaged,1465,1471,100
Div,1,Accomack County ,Science,Economically Disadvantaged,681,688,99
Div,1,Accomack County ,English: Reading,English Learners,576,578,100
Div,1,Accomack County ,Mathematics,English Learners,570,571,100
Div,1,Accomack County ,Science,English Learners,220,221,100
Div,1,Accomack County ,English: Reading,Female,1159,1164,100
Div,1,Accomack County ,Mathematics,Female,1068,1077,99
Div,1,Accomack County ,Science,Female,354,355,100
Div,1,Accomack County ,English: Reading,Hispanic,584,584,100
Div,1,Accomack County ,Mathematics,Hispanic,530,531,100
Div,1,Accomack County ,Science,Hispanic,276,277,100
Div,1,Accomack County ,English: Reading,Male,1223,1230,99
Div,1,Accomack County ,Mathematics,Male,1114,1121,99
Div,1,Accomack County ,Science,Male,349,353,99
Div,1,Accomack County ,English: Reading,Students with Disabilities,334,341,98
Div,1,Accomack County ,Mathematics,Students with Disabilities,313,321,98
Div,1,Accomack County ,Science,Students with Disabilities,130,138,94
Div,1,Accomack County ,English: Reading,White,872,878,99
Div,1,Accomack County ,Mathematics,White,808,818,99
Div,1,Accomack County ,Science,White,376,383,98
Div,2,Albemarle County ,English: Reading,All Students,7060,7091,100
Div,2,Albemarle County ,Mathematics,All Students,6152,6194,99
Div,2,Albemarle County ,Science,All Students,2663,2770,96
Div,2,Albemarle County ,English: Reading,Asian,398,398,100
Div,2,Albemarle County ,Mathematics,Asian,349,352,99
Div,2,Albemarle County ,Science,Asian,150,158,95
Div,2,Albemarle County ,English: Reading,Black,831,837,99
Div,2,Albemarle County ,Mathematics,Black,730,735,99
Div,2,Albemarle County ,Science,Black,347,364,95
Div,2,Albemarle County ,English: Reading,Economically Disadvantaged,2217,2232,99
Div,2,Albemarle County ,Mathematics,Economically Disadvantaged,2021,2033,99
Div,2,Albemarle County ,Science,Economically Disadvantaged,865,902,96
Div,2,Albemarle County ,English: Reading,English Learners,829,832,100
Div,2,Albemarle County ,Mathematics,English Learners,839,840,100
Div,2,Albemarle County ,Science,English Learners,297,314,95
Div,2,Albemarle County ,English: Reading,Female,3452,3460,100
Div,2,Albemarle County ,Mathematics,Female,2984,3004,99
Div,2,Albemarle County ,Science,Female,1006,1013,99
Div,2,Albemarle County ,English: Reading,Hispanic,1070,1077,99
Div,2,Albemarle County ,Mathematics,Hispanic,999,1005,99
Div,2,Albemarle County ,Science,Hispanic,399,423,94
Div,2,Albemarle County ,English: Reading,Male,3602,3625,99
Div,2,Albemarle County ,Mathematics,Male,3162,3184,99
Div,2,Albemarle County ,Science,Male,1022,1025,100
Div,2,Albemarle County ,English: Reading,Students with Disabilities,937,950,99
Div,2,Albemarle County ,Mathematics,Students with Disabilities,864,874,99
Div,2,Albemarle County ,Science,Students with Disabilities,372,389,96
Div,2,Albemarle County ,English: Reading,White,4231,4247,100
Div,2,Albemarle County ,Mathematics,White,3602,3628,99
Div,2,Albemarle County ,Science,White,1582,1632,97
Div,101,Alexandria City ,English: Reading,All Students,7716,7798,99
Div,101,Alexandria City ,Mathematics,All Students,7205,7308,99
Div,101,Alexandria City ,Science,All Students,2390,2444,98
Div,101,Alexandria City ,English: Reading,Asian,475,477,100
Div,101,Alexandria City ,Mathematics,Asian,471,474,99
