Level,Div Num,Div Name,Subject,Subgroup,Number Tested,Number of Students,2023-2024 Participation Rate
Div,1,Accomack County ,Mathematics,All Students,2388,2397,99.6
Div,1,Accomack County ,Reading,All Students,2347,2356,99.6
Div,1,Accomack County ,Science,All Students,1012,1017,99.5
Div,1,Accomack County ,Mathematics,Asian,26,26,100
Div,1,Accomack County ,Reading,Asian,25,25,100
Div,1,Accomack County ,Science,Asian,0,0,0
Div,1,Accomack County ,Mathematics,Black,870,873,99.7
Div,1,Accomack County ,Reading,Black,854,856,99.8
Div,1,Accomack County ,Science,Black,371,373,99.5
Div,1,Accomack County ,Mathematics,Economically Disadvantaged,1537,1542,99.7
Div,1,Accomack County ,Reading,Economically Disadvantaged,1529,1535,99.6
Div,1,Accomack County ,Science,Economically Disadvantaged,637,641,99.4
Div,1,Accomack County ,Mathematics,English Learners,655,656,99.8
Div,1,Accomack County ,Reading,English Learners,610,611,99.8
Div,1,Accomack County ,Science,English Learners,242,243,99.6
Div,1,Accomack County ,Mathematics,Female,1161,1163,99.8
Div,1,Accomack County ,Reading,Female,1138,1142,99.6
Div,1,Accomack County ,Science,Female,332,332,100
Div,1,Accomack County ,Mathematics,Hispanic,592,596,99.3
Div,1,Accomack County ,Reading,Hispanic,569,571,99.6
Div,1,Accomack County ,Science,Hispanic,256,257,99.6
Div,1,Accomack County ,Mathematics,Male,1227,1234,99.4
Div,1,Accomack County ,Reading,Male,1209,1214,99.6
Div,1,Accomack County ,Science,Male,348,349,99.7
Div,1,Accomack County ,Mathematics,Multiple Races,51,51,100
Div,1,Accomack County ,Reading,Multiple Races,51,51,100
Div,1,Accomack County ,Science,Multiple Races,13,13,100
Div,1,Accomack County ,Mathematics,Students with Disabilities,328,330,99.4
Div,1,Accomack County ,Reading,Students with Disabilities,327,329,99.4
Div,1,Accomack County ,Science,Students with Disabilities,152,154,98.7
Div,1,Accomack County ,Mathematics,White,842,844,99.8
Div,1,Accomack County ,Reading,White,842,847,99.4
Div,1,Accomack County ,Science,White,360,362,99.4
Div,2,Albemarle County ,Mathematics,All Students,7005,7061,99.2
Div,2,Albemarle County ,Reading,All Students,6929,6962,99.5
Div,2,Albemarle County ,Science,All Students,2895,2964,97.7
Div,2,Albemarle County ,Mathematics,Asian,434,437,99.3
Div,2,Albemarle County ,Reading,Asian,415,415,100
Div,2,Albemarle County ,Science,Asian,163,171,95.3
Div,2,Albemarle County ,Mathematics,Black,825,831,99.3
Div,2,Albemarle County ,Reading,Black,828,833,99.4
Div,2,Albemarle County ,Science,Black,330,337,97.9
Div,2,Albemarle County ,Mathematics,Economically Disadvantaged,2291,2314,99
Div,2,Albemarle County ,Reading,Economically Disadvantaged,2210,2229,99.1
Div,2,Albemarle County ,Science,Economically Disadvantaged,913,934,97.8
Div,2,Albemarle County ,Mathematics,English Learners,957,958,99.9
Div,2,Albemarle County ,Reading,English Learners,840,842,99.8
Div,2,Albemarle County ,Science,English Learners,324,328,98.8
Div,2,Albemarle County ,Mathematics,Female,3370,3400,99.1
Div,2,Albemarle County ,Reading,Female,3334,3352,99.5
Div,2,Albemarle County ,Science,Female,944,949,99.5
Div,2,Albemarle County ,Mathematics,Hispanic,1172,1177,99.6
Div,2,Albemarle County ,Reading,Hispanic,1096,1101,99.5
Div,2,Albemarle County ,Science,Hispanic,469,477,98.3
Div,2,Albemarle County ,Mathematics,Male,3630,3656,99.3
Div,2,Albemarle County ,Reading,Male,3590,3605,99.6
Div,2,Albemarle County ,Science,Male,1048,1049,99.9
Div,2,Albemarle County ,Mathematics,Multiple Races,487,496,98.2
Div,2,Albemarle County ,Reading,Multiple Races,487,493,98.8
Div,2,Albemarle County ,Science,Multiple Races,185,188,98.4
Div,2,Albemarle County ,Mathematics,Students with Disabilities,949,956,99.3
Div,2,Albemarle County ,Reading,Students with Disabilities,946,955,99.1
Div,2,Albemarle County ,Science,Students with Disabilities,381,387,98.4
Div,2,Albemarle County ,Mathematics,White,4081,4114,99.2
Div,2,Albemarle County ,Reading,White,4097,4114,99.6
Div,2,Albemarle County ,Science,White,1748,1791,97.6
Div,101,Alexandria City ,Mathematics,All Students,8009,8130,98.5
Div,101,Alexandria City ,Reading,All Students,7721,7805,98.9
Div,101,Alexandria City ,Science,All Students,3233,3303,97.9
Div,101,Alexandria City ,Mathematics,Asian,534,540,98.9
Div,101,Alexandria City ,Reading,Asian,480,483,99.4
Div,101,Alexandria City ,Science,Asian,183,184,99.5
Div,101,Alexandria City ,Mathematics,Black,1922,1951,98.5
Div,101,Alexandria City ,Reading,Black,1919,1939,99
Div,101,Alexandria City ,Science,Black,810,831,97.5
Div,101,Alexandria City ,Mathematics,Economically Disadvantaged,4311,4379,98.4
Div,101,Alexandria City ,Reading,Economically Disadvantaged,4143,4200,98.6
Div,101,Alexandria City ,Science,Economically Disadvantaged,1767,1813,97.5
Div,101,Alexandria City ,Mathematics,English Learners,3861,3907,98.8
Div,101,Alexandria City ,Reading,English Learners,3528,3569,98.9
Div,101,Alexandria City ,Science,English Learners,1354,1375,98.5
Div,101,Alexandria City ,Mathematics,Female,3897,3948,98.7
Div,101,Alexandria City ,Reading,Female,3750,3783,99.1
Div,101,Alexandria City ,Science,Female,1197,1203,99.5
Div,101,Alexandria City ,Mathematics,Hispanic,2985,3042,98.1
Div,101,Alexandria City ,Reading,Hispanic,2817,2866,98.3
Div,101,Alexandria City ,Science,Hispanic,1235,1268,97.4
Div,101,Alexandria City ,Mathematics,Male,4111,4181,98.3
Div,101,Alexandria City ,Reading,Male,3970,4021,98.7
Div,101,Alexandria City ,Science,Male,1215,1223,99.3
Div,101,Alexandria City ,Mathematics,Multiple Races,349,351,99.4
Div,101,Alexandria City ,Reading,Multiple Races,332,334,99.4
Div,101,Alexandria City ,Science,Multiple Races,115,117,98.3
Div,101,Alexandria City ,Mathematics,Students with Disabilities,912,940,97
Div,101,Alexandria City ,Reading,Students with Disabilities,922,947,97.4
Div,101,Alexandria City ,Science,Students with Disabilities,352,369,95.4
Div,101,Alexandria City ,Mathematics,White,2170,2197,98.8
Div,101,Alexandria City ,Reading,White,2130,2140,99.5
Div,101,Alexandria City ,Science,White,876,888,98.6
Div,3,Alleghany Highlands ,Mathematics,All Students,1358,1413,96.1
Div,3,Alleghany Highlands ,Reading,All Students,1389,1411,98.4
Div,3,Alleghany Highlands ,Science,All Students,579,595,97.3
Div,3,Alleghany Highlands ,Mathematics,Asian,0,0,0
Div,3,Alleghany Highlands ,Reading,Asian,0,0,0
Div,3,Alleghany Highlands ,Science,Asian,0,0,0
Div,3,Alleghany Highlands ,Mathematics,Black,110,111,99.1
Div,3,Alleghany Highlands ,Reading,Black,109,111,98.2
Div,3,Alleghany Highlands ,Science,Black,43,44,97.7
Div,3,Alleghany Highlands ,Mathematics,Economically Disadvantaged,409,422,96.9
Div,3,Alleghany Highlands ,Reading,Economically Disadvantaged,405,418,96.9
Div,3,Alleghany Highlands ,Science,Economically Disadvantaged,186,199,93.5
Div,3,Alleghany Highlands ,Mathematics,English Learners,23,23,100
Div,3,Alleghany Highlands ,Reading,English Learners,22,22,100
Div,3,Alleghany Highlands ,Science,English Learners,13,15,86.7
Div,3,Alleghany Highlands ,Mathematics,Female,661,687,96.2
Div,3,Alleghany Highlands ,Reading,Female,677,684,99
Div,3,Alleghany Highlands ,Science,Female,194,195,99.5
Div,3,Alleghany Highlands ,Mathematics,Hispanic,57,58,98.3
Div,3,Alleghany Highlands ,Reading,Hispanic,60,60,100
Div,3,Alleghany Highlands ,Science,Hispanic,25,27,92.6
Div,3,Alleghany Highlands ,Mathematics,Male,697,726,96
Div,3,Alleghany Highlands ,Reading,Male,712,727,97.9
Div,3,Alleghany Highlands ,Science,Male,190,192,99
Div,3,Alleghany Highlands ,Mathematics,Multiple Races,73,76,96.1
Div,3,Alleghany Highlands ,Reading,Multiple Races,71,75,94.7
Div,3,Alleghany Highlands ,Science,Multiple Races,28,31,90.3
Div,3,Alleghany Highlands ,Mathematics,Students with Disabilities,219,224,97.8
Div,3,Alleghany Highlands ,Reading,Students with Disabilities,217,225,96.4
Div,3,Alleghany Highlands ,Science,Students with Disabilities,88,95,92.6
Div,3,Alleghany Highlands ,Mathematics,White,1107,1156,95.8
Div,3,Alleghany Highlands ,Reading,White,1138,1153,98.7
Div,3,Alleghany Highlands ,Science,White,480,488,98.4
Div,4,Amelia County ,Mathematics,All Students,770,773,99.6
Div,4,Amelia County ,Reading,All Students,771,772,99.9
Div,4,Amelia County ,Science,All Students,322,323,99.7
Div,4,Amelia County ,Mathematics,Black,138,139,99.3
Div,4,Amelia County ,Reading,Black,138,138,100
Div,4,Amelia County ,Science,Black,69,69,100
Div,4,Amelia County ,Mathematics,Economically Disadvantaged,395,397,99.5
Div,4,Amelia County ,Reading,Economically Disadvantaged,396,397,99.7
Div,4,Amelia County ,Science,Economically Disadvantaged,158,159,99.4
Div,4,Amelia County ,Mathematics,English Learners,45,45,100
Div,4,Amelia County ,Reading,English Learners,43,43,100
Div,4,Amelia County ,Science,English Learners,10,10,100
Div,4,Amelia County ,Mathematics,Female,362,363,99.7
Div,4,Amelia County ,Reading,Female,363,363,100
Div,4,Amelia County ,Science,Female,117,117,100
Div,4,Amelia County ,Mathematics,Hispanic,77,77,100
Div,4,Amelia County ,Reading,Hispanic,77,77,100
Div,4,Amelia County ,Science,Hispanic,26,26,100
Div,4,Amelia County ,Mathematics,Male,408,410,99.5
Div,4,Amelia County ,Reading,Male,408,409,99.8
Div,4,Amelia County ,Science,Male,94,94,100
Div,4,Amelia County ,Mathematics,Multiple Races,69,69,100
Div,4,Amelia County ,Reading,Multiple Races,69,69,100
Div,4,Amelia County ,Science,Multiple Races,29,29,100
Div,4,Amelia County ,Mathematics,Students with Disabilities,102,103,99
Div,4,Amelia County ,Reading,Students with Disabilities,101,102,99
Div,4,Amelia County ,Science,Students with Disabilities,38,39,97.4
Div,4,Amelia County ,Mathematics,White,485,487,99.6
Div,4,Amelia County ,Reading,White,486,487,99.8
Div,4,Amelia County ,Science,White,198,199,99.5
Div,5,Amherst County ,Mathematics,All Students,1945,1960,99.2
Div,5,Amherst County ,Reading,All Students,1941,1953,99.4
Div,5,Amherst County ,Science,All Students,816,825,98.9
Div,5,Amherst County ,Mathematics,Asian,0,0,0
Div,5,Amherst County ,Reading,Asian,0,0,0
Div,5,Amherst County ,Science,Asian,0,0,0
Div,5,Amherst County ,Mathematics,Black,383,386,99.2
Div,5,Amherst County ,Reading,Black,383,385,99.5
Div,5,Amherst County ,Science,Black,159,160,99.4
Div,5,Amherst County ,Mathematics,Economically Disadvantaged,974,982,99.2
Div,5,Amherst County ,Reading,Economically Disadvantaged,974,982,99.2
Div,5,Amherst County ,Science,Economically Disadvantaged,413,418,98.8
Div,5,Amherst County ,Mathematics,English Learners,33,34,97.1
