Div Num,Div Name,Subject,Subgroup,2021-2022 Pass Rate,2022-2023 Pass Rate,2023-2024 Pass Rate
1,Accomack County ,English: Reading,All Students,67,67,66
1,Accomack County ,English: Writing,All Students,63,62,66
1,Accomack County ,History and Social Sciences,All Students,53,59,65
1,Accomack County ,Mathematics,All Students,63,66,66
1,Accomack County ,Science,All Students,61,63,62
1,Accomack County ,English: Reading,Asian,94,89,86
1,Accomack County ,English: Writing,Asian,0,0,0
1,Accomack County ,History and Social Sciences,Asian,0,0,0
1,Accomack County ,Mathematics,Asian,94,94,93
1,Accomack County ,Science,Asian,0,100,0
1,Accomack County ,English: Reading,Black,57,58,56
1,Accomack County ,English: Writing,Black,49,48,47
1,Accomack County ,History and Social Sciences,Black,40,45,54
1,Accomack County ,Mathematics,Black,53,55,56
1,Accomack County ,Science,Black,46,46,50
1,Accomack County ,English: Reading,Economically Disadvantaged,62,63,61
1,Accomack County ,English: Writing,Economically Disadvantaged,56,57,61
1,Accomack County ,History and Social Sciences,Economically Disadvantaged,47,55,61
1,Accomack County ,Mathematics,Economically Disadvantaged,58,63,63
1,Accomack County ,Science,Economically Disadvantaged,54,59,58
1,Accomack County ,English: Reading,English Learners,38,37,35
1,Accomack County ,English: Writing,English Learners,13,14,16
1,Accomack County ,History and Social Sciences,English Learners,39,39,49
1,Accomack County ,Mathematics,English Learners,46,47,47
1,Accomack County ,Science,English Learners,28,31,34
1,Accomack County ,English: Reading,Female,70,70,68
1,Accomack County ,English: Writing,Female,69,71,73
1,Accomack County ,History and Social Sciences,Female,52,57,67
1,Accomack County ,Mathematics,Female,64,68,67
1,Accomack County ,Science,Female,61,63,61
1,Accomack County ,English: Reading,Hispanic,65,63,60
1,Accomack County ,English: Writing,Hispanic,62,64,61
1,Accomack County ,History and Social Sciences,Hispanic,55,59,69
1,Accomack County ,Mathematics,Hispanic,64,67,65
1,Accomack County ,Science,Hispanic,59,63,59
1,Accomack County ,English: Reading,Male,64,65,64
1,Accomack County ,English: Writing,Male,57,54,58
1,Accomack County ,History and Social Sciences,Male,54,61,63
1,Accomack County ,Mathematics,Male,62,65,66
1,Accomack County ,Science,Male,60,62,64
1,Accomack County ,English: Reading,Multiple Races,74,72,64
1,Accomack County ,English: Writing,Multiple Races,58,71,0
1,Accomack County ,History and Social Sciences,Multiple Races,58,68,64
1,Accomack County ,Mathematics,Multiple Races,58,62,59
1,Accomack County ,Science,Multiple Races,55,76,73
1,Accomack County ,English: Reading,Students with Disabilities,32,36,35
1,Accomack County ,English: Writing,Students with Disabilities,19,14,28
1,Accomack County ,History and Social Sciences,Students with Disabilities,23,27,30
1,Accomack County ,Mathematics,Students with Disabilities,34,35,36
1,Accomack County ,Science,Students with Disabilities,32,34,29
1,Accomack County ,English: Reading,White,77,79,79
1,Accomack County ,English: Writing,White,75,71,83
1,Accomack County ,History and Social Sciences,White,63,72,75
1,Accomack County ,Mathematics,White,72,77,77
1,Accomack County ,Science,White,76,76,79
2,Albemarle County ,English: Reading,All Students,75,74,75
2,Albemarle County ,English: Writing,All Students,67,73,78
2,Albemarle County ,History and Social Sciences,All Students,67,73,73
2,Albemarle County ,Mathematics,All Students,66,69,72
2,Albemarle County ,Science,All Students,62,67,68
2,Albemarle County ,English: Reading,Asian,84,81,84
2,Albemarle County ,English: Writing,Asian,82,84,93
2,Albemarle County ,History and Social Sciences,Asian,83,88,88
2,Albemarle County ,Mathematics,Asian,84,83,84
2,Albemarle County ,Science,Asian,77,81,78
2,Albemarle County ,English: Reading,Black,50,48,50
2,Albemarle County ,English: Writing,Black,29,37,52
2,Albemarle County ,History and Social Sciences,Black,34,42,40
2,Albemarle County ,Mathematics,Black,38,42,44
2,Albemarle County ,Science,Black,33,35,36
2,Albemarle County ,English: Reading,Economically Disadvantaged,51,49,50
2,Albemarle County ,English: Writing,Economically Disadvantaged,37,43,52
2,Albemarle County ,History and Social Sciences,Economically Disadvantaged,39,47,47
2,Albemarle County ,Mathematics,Economically Disadvantaged,41,43,48
2,Albemarle County ,Science,Economically Disadvantaged,36,39,41
2,Albemarle County ,English: Reading,English Learners,21,24,38
2,Albemarle County ,English: Writing,English Learners,0,13,21
2,Albemarle County ,History and Social Sciences,English Learners,11,32,60
2,Albemarle County ,Mathematics,English Learners,25,33,44
2,Albemarle County ,Science,English Learners,10,15,31
2,Albemarle County ,English: Reading,Female,76,75,77
2,Albemarle County ,English: Writing,Female,75,76,84
2,Albemarle County ,History and Social Sciences,Female,65,71,70
2,Albemarle County ,Mathematics,Female,65,68,71
2,Albemarle County ,Science,Female,63,65,66
2,Albemarle County ,English: Reading,Hispanic,51,50,49
2,Albemarle County ,English: Writing,Hispanic,54,50,47
2,Albemarle County ,History and Social Sciences,Hispanic,46,51,59
2,Albemarle County ,Mathematics,Hispanic,45,48,50
2,Albemarle County ,Science,Hispanic,35,39,42
2,Albemarle County ,English: Reading,Male,74,73,73
2,Albemarle County ,English: Writing,Male,58,70,72
2,Albemarle County ,History and Social Sciences,Male,68,74,76
2,Albemarle County ,Mathematics,Male,68,71,73
2,Albemarle County ,Science,Male,61,68,69
2,Albemarle County ,English: Reading,Multiple Races,78,71,75
2,Albemarle County ,English: Writing,Multiple Races,60,67,75
2,Albemarle County ,History and Social Sciences,Multiple Races,59,68,71
2,Albemarle County ,Mathematics,Multiple Races,62,62,70
2,Albemarle County ,Science,Multiple Races,61,64,67
2,Albemarle County ,English: Reading,Students with Disabilities,44,45,44
2,Albemarle County ,English: Writing,Students with Disabilities,19,27,35
2,Albemarle County ,History and Social Sciences,Students with Disabilities,37,37,34
2,Albemarle County ,Mathematics,Students with Disabilities,37,41,45
