LEVEL,Div Num,Div Name,Sch Num,Sch Name,Sch Type,Low Grade,High Grade,Subject,Grade,Test,2020-2021 Pass Rate,2021-2022 Pass Rate,2022-2023 Pass Rate,2020-2021 Adv Pass Rate,2021-2022 Adv Pass Rate,2022-2023 Adv Pass Rate
SCH,1,Accomack County ,701,Accawmacke Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,50,67,65,3,7,5
SCH,1,Accomack County ,701,Accawmacke Elementary,Elem,PK,5.0,English: Reading,Gr 4,English Reading,56,67,62,6,11,9
SCH,1,Accomack County ,701,Accawmacke Elementary,Elem,PK,5.0,English: Reading,Gr 5,English Reading,45,68,67,7,7,3
SCH,1,Accomack County ,701,Accawmacke Elementary,Elem,PK,5.0,History and Social Sciences,Gr 5,History,0,,,0,,
SCH,1,Accomack County ,701,Accawmacke Elementary,Elem,PK,5.0,History and Social Sciences,Content Specific,VA Studies,,72,65,,21,11
SCH,1,Accomack County ,701,Accawmacke Elementary,Elem,PK,5.0,Mathematics,Gr 3,Mathematics,38,76,70,3,5,10
SCH,1,Accomack County ,701,Accawmacke Elementary,Elem,PK,5.0,Mathematics,Gr 4,Mathematics,28,56,69,4,5,0
SCH,1,Accomack County ,701,Accawmacke Elementary,Elem,PK,5.0,Mathematics,Gr 5,Mathematics,34,66,67,3,3,9
SCH,1,Accomack County ,701,Accawmacke Elementary,Elem,PK,5.0,Science,Gr 5,Science,34,72,64,6,16,9
SCH,1,Accomack County ,540,Arcadia High,High,9,12.0,English: Reading,End of Course,English Reading,74,75,80,13,13,12
SCH,1,Accomack County ,540,Arcadia High,High,9,12.0,English: Writing,End of Course,Writing,63,64,68,6,9,8
SCH,1,Accomack County ,540,Arcadia High,High,9,12.0,History and Social Sciences,End of Course,Geography,46,55,56,3,5,1
SCH,1,Accomack County ,540,Arcadia High,High,9,12.0,History and Social Sciences,End of Course,VA & US History,9,16,8,0,0,0
SCH,1,Accomack County ,540,Arcadia High,High,9,12.0,History and Social Sciences,End of Course,World History I,13,24,0,0,1,0
SCH,1,Accomack County ,540,Arcadia High,High,9,12.0,History and Social Sciences,End of Course,World History II,3,10,0,0,0,0
SCH,1,Accomack County ,540,Arcadia High,High,9,12.0,Mathematics,End of Course,Algebra I,55,73,76,0,1,2
SCH,1,Accomack County ,540,Arcadia High,High,9,12.0,Mathematics,End of Course,Algebra II,67,0,,19,0,
SCH,1,Accomack County ,540,Arcadia High,High,9,12.0,Mathematics,End of Course,Geometry,69,79,95,0,14,0
SCH,1,Accomack County ,540,Arcadia High,High,9,12.0,Mathematics,End of Course,Mathematics,,0,,,0,
SCH,1,Accomack County ,540,Arcadia High,High,9,12.0,Science,End of Course,Biology,50,56,51,1,4,4
SCH,1,Accomack County ,540,Arcadia High,High,9,12.0,Science,End of Course,Chemistry,13,0,0,0,0,0
SCH,1,Accomack County ,540,Arcadia High,High,9,12.0,Science,End of Course,Earth Science,85,85,22,8,8,0
SCH,1,Accomack County ,540,Arcadia High,High,9,12.0,Science,End of Course,Science,,0,,,0,
SCH,1,Accomack County ,704,Arcadia Middle ,Middle,6,8.0,English: Reading,Gr 6,English Reading,55,59,61,6,6,5
