Div Num,Div Name,Sch Num,Sch Name,Sch Type,Low Grade,High Grade,Subject,Grade,Test,2021-2022 Pass Rate,2022-2023 Pass Rate,2023-2024 Pass Rate,2021-2022 Adv Pass Rate,2022-2023 Adv Pass Rate,2023-2024 Adv Pass Rate
1,Accomack County ,701,Accawmacke Elementary,Elem,PK,5,English: Reading,Gr 3,English Reading,67,65,61,7,5,8
1,Accomack County ,701,Accawmacke Elementary,Elem,PK,5,English: Reading,Gr 4,English Reading,67,62,59,11,9,16
1,Accomack County ,701,Accawmacke Elementary,Elem,PK,5,English: Reading,Gr 5,English Reading,68,67,64,7,3,5
1,Accomack County ,701,Accawmacke Elementary,Elem,PK,5,History and Social Sciences,Content Specific,VA Studies,72,65,63,21,11,14
1,Accomack County ,701,Accawmacke Elementary,Elem,PK,5,Mathematics,Gr 3,Mathematics,76,70,66,5,10,9
1,Accomack County ,701,Accawmacke Elementary,Elem,PK,5,Mathematics,Gr 4,Mathematics,56,69,58,5,0,5
1,Accomack County ,701,Accawmacke Elementary,Elem,PK,5,Mathematics,Gr 5,Mathematics,66,67,62,3,9,3
1,Accomack County ,701,Accawmacke Elementary,Elem,PK,5,Science,Gr 5,Science,72,64,69,16,9,2
1,Accomack County ,540,Arcadia High,High,09,12,English: Reading,End of Course,English Reading,75,80,77,13,12,19
1,Accomack County ,540,Arcadia High,High,09,12,English: Writing,End of Course,Writing,64,68,59,9,8,6
1,Accomack County ,540,Arcadia High,High,09,12,History and Social Sciences,End of Course,Geography,55,56,77,5,1,3
1,Accomack County ,540,Arcadia High,High,09,12,History and Social Sciences,End of Course,VA & US History,16,8,40,0,0,0
1,Accomack County ,540,Arcadia High,High,09,12,History and Social Sciences,End of Course,World History I,24,0,71,1,0,0
1,Accomack County ,540,Arcadia High,High,09,12,History and Social Sciences,End of Course,World History II,10,0,0,0,0,0
1,Accomack County ,540,Arcadia High,High,09,12,Mathematics,End of Course,Algebra I,73,76,82,1,2,1
