"GEO_ID","NAME","B20004_001E","B20004_001M","B20004_002E","B20004_002M","B20004_003E","B20004_003M","B20004_004E","B20004_004M","B20004_005E","B20004_005M","B20004_006E","B20004_006M","B20004_007E","B20004_007M","B20004_008E","B20004_008M","B20004_009E","B20004_009M","B20004_010E","B20004_010M","B20004_011E","B20004_011M","B20004_012E","B20004_012M","B20004_013E","B20004_013M","B20004_014E","B20004_014M","B20004_015E","B20004_015M","B20004_016E","B20004_016M","B20004_017E","B20004_017M","B20004_018E","B20004_018M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than high school graduate","Margin of Error!!Total:!!Less than high school graduate","Estimate!!Total:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!High school graduate (includes equivalency)","Estimate!!Total:!!Some college or associate's degree","Margin of Error!!Total:!!Some college or associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Graduate or professional degree","Margin of Error!!Total:!!Graduate or professional degree","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Less than high school graduate","Margin of Error!!Total:!!Male:!!Less than high school graduate","Estimate!!Total:!!Male:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Male:!!High school graduate (includes equivalency)","Estimate!!Total:!!Male:!!Some college or associate's degree","Margin of Error!!Total:!!Male:!!Some college or associate's degree","Estimate!!Total:!!Male:!!Bachelor's degree","Margin of Error!!Total:!!Male:!!Bachelor's degree","Estimate!!Total:!!Male:!!Graduate or professional degree","Margin of Error!!Total:!!Male:!!Graduate or professional degree","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Less than high school graduate","Margin of Error!!Total:!!Female:!!Less than high school graduate","Estimate!!Total:!!Female:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency)","Estimate!!Total:!!Female:!!Some college or associate's degree","Margin of Error!!Total:!!Female:!!Some college or associate's degree","Estimate!!Total:!!Female:!!Bachelor's degree","Margin of Error!!Total:!!Female:!!Bachelor's degree","Estimate!!Total:!!Female:!!Graduate or professional degree","Margin of Error!!Total:!!Female:!!Graduate or professional degree",
"0500000US51003","Albemarle County, Virginia","59088","4059","26679","6996","35563","5936","51402","6483","65934","12502","100376","23182","66132","10249","35162","14595","46054","7984","54250","9355","77946","19529","121316","15490","52000","9113","12454","5881","30299","6953","48665","8238","58940","7881","74846","10253",
"0500000US51013","Arlington County, Virginia","97469","4586","40157","4297","39749","8324","55502","9371","101186","4261","123502","5439","108858","10280","56340","15133","50024","12139","51538","16732","117878","7307","138305","13782","86033","4256","31879","5793","24208","8639","56298","7037","86660","6031","107975","12161",
"0500000US51015","Augusta County, Virginia","46267","5858","35654","22184","41120","4637","41772","6748","60214","11134","81535","11521","51376","4492","40009","13656","49205","9294","50345","10359","77207","18685","87969","53135","39866","5208","22938","1862","35738","7564","33402","8876","44015","14886","80721","16280",
"0500000US51019","Bedford County, Virginia","44758","3899","38737","23634","33775","4998","40601","6063","55340","10348","81479","12359","51159","5096","45750","32591","36884","4202","54126","5229","81795","29094","104716","25574","38435","5250","29190","25737","12451","20553","33038","5425","48862","5916","61859","13908",
"0500000US51041","Chesterfield County, Virginia","58963","4053","35085","8818","41034","1852","50534","3157","70964","3456","81877","6967","68111","3888","36211","7061","47888","6087","64681","8424","76886","4478","120303","11980","50672","1553","27198","17334","35854","3676","38721","3307","65401","7475","67389","10118",
"0500000US51059","Fairfax County, Virginia","81448","1258","29013","3360","41234","3546","51887","2482","94413","4444","123390","2326","95626","4310","35044","6908","50781","4122","60632","3747","114746","3841","145505","5835","69259","3394","22282","4469","32159","2983","45621","4859","76809","4948","101013","1775",
"0500000US51061","Fauquier County, Virginia","60974","2213","36717","8664","47835","7995","60718","3358","79868","12434","88700","12999","69016","5675","37173","21099","58655","11730","61388","5658","121027","14442","103504","29018","53069","3837","23422","23165","39266","6836","58611","12552","52939","10898","81930","13125",
"0500000US51069","Frederick County, Virginia","57360","5270","37376","10326","46247","3046","55029","13511","76520","13656","74155","10576","70852","5431","41727","20629","60571","15309","64805","13968","110837","29193","86955","43434","40669","4741","31091","17235","35364","5917","36800","7263","61069","5088","66720","10599",
"0500000US51085","Hanover County, Virginia","61840","2826","52181","17613","42509","9891","56038","5692","76890","6463","86675","21347","70844","7466","65116","20780","51138","3152","70598","14576","81739","17081","117039","18565","53987","4580","50013","75129","34364","6418","48981","11159","62021","9863","71174","10412",
