"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"C17018_001E","Estimate!!Total:"
"C17018_001M","Margin of Error!!Total:"
"C17018_002E","Estimate!!Total:!!Income in the past 12 months below poverty level:"
"C17018_002M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:"
"C17018_003E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Less than high school graduate"
"C17018_003M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Less than high school graduate"
"C17018_004E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!High school graduate (includes equivalency)"
"C17018_004M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!High school graduate (includes equivalency)"
"C17018_005E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Some college, associate's degree"
"C17018_005M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Some college, associate's degree"
"C17018_006E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Bachelor's degree or higher"
"C17018_006M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Bachelor's degree or higher"
"C17018_007E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:"
"C17018_007M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:"
"C17018_008E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Less than high school graduate"
"C17018_008M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Less than high school graduate"
"C17018_009E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!High school graduate (includes equivalency)"
"C17018_009M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!High school graduate (includes equivalency)"
"C17018_010E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Some college, associate's degree"
"C17018_010M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Some college, associate's degree"
"C17018_011E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Bachelor's degree or higher"
"C17018_011M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Bachelor's degree or higher"
