"GEO_ID","NAME","C17018_001E","C17018_001M","C17018_002E","C17018_002M","C17018_003E","C17018_003M","C17018_004E","C17018_004M","C17018_005E","C17018_005M","C17018_006E","C17018_006M","C17018_007E","C17018_007M","C17018_008E","C17018_008M","C17018_009E","C17018_009M","C17018_010E","C17018_010M","C17018_011E","C17018_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Income in the past 12 months below poverty level:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Less than high school graduate","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Less than high school graduate","Estimate!!Total:!!Income in the past 12 months below poverty level:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!High school graduate (includes equivalency)","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Some college, associate's degree","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Some college, associate's degree","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Bachelor's degree or higher","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Bachelor's degree or higher","Estimate!!Total:!!Income in the past 12 months at or above poverty level:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Less than high school graduate","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Less than high school graduate","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!High school graduate (includes equivalency)","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Some college, associate's degree","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Some college, associate's degree","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Bachelor's degree or higher","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Bachelor's degree or higher",
"0500000US51003","Albemarle County, Virginia","26699","1900","1354","660","134","164","293","262","530","511","397","282","25345","1933","946","451","2397","768","4824","1025","17178","1784",
"0500000US51013","Arlington County, Virginia","47786","2203","2166","799","960","743","316","322","114","187","776","451","45620","2251","1809","730","2980","1035","4204","1055","36627","2424",
"0500000US51015","Augusta County, Virginia","21809","1301","1299","458","78","99","897","436","214","253","110","146","20510","1321","1347","639","7168","1403","4861","1095","7134","1226",
"0500000US51019","Bedford County, Virginia","22045","1811","1077","799","204","214","151","144","0","214","722","763","20968","1762","509","428","5333","1321","6489","1329","8637","1434",
"0500000US51041","Chesterfield County, Virginia","103373","2893","5008","1649","483","482","1971","1183","1262","923","1292","825","98365","3159","4550","1276","14423","2046","25378","3022","54014","3230",
"0500000US51059","Fairfax County, Virginia","288418","4430","10336","1891","2793","1174","1893","897","2186","832","3464","913","278082","4476","12522","2095","25081","3157","37646","3312","202833","4859",
"0500000US51061","Fauquier County, Virginia","20799","1165","699","462","0","214","138","213","347","347","214","182","20100","1208","898","564","4440","1087","4349","971","10413","1224",
"0500000US51069","Frederick County, Virginia","27606","1265","1021","510","451","299","128","128","310","297","132","179","26585","1340","1139","655","7278","1522","7419","1258","10749","1480",
"0500000US51085","Hanover County, Virginia","32832","1952","839","461","67","124","390","366","224","273","158","113","31993","1901","1229","454","6696","1159","8400","1188","15668","1766",
"0500000US51087","Henrico County, Virginia","86029","3262","5622","1470","580","401","2696","1154","1679","838","667","426","80407","3170","2818","1124","12646","1876","20410","2165","44533","2689",
"0500000US51095","James City County, Virginia","22770","1713","925","483","248","286","88","114","386","322","203","241","21845","1807","683","454","2062","755","5485","1174","13615","1591",
"0500000US51107","Loudoun County, Virginia","112905","2727","2997","986","534","452","849","728","371","266","1243","501","109908","2603","2725","949","8293","1606","16367","1694","82523","2896",
