Subject,Subgroup,2021-2022 Pass Rate,2022-2023 Pass Rate,2023-2024 Pass Rate
English: Reading,All Students,73,73,73
English: Writing,All Students,65,65,76
History and Social Sciences,All Students,66,65,65
Mathematics,All Students,66,69,71
Science,All Students,65,67,68
English: Reading,Asian,88,87,87
English: Writing,Asian,88,86,90
History and Social Sciences,Asian,87,86,86
Mathematics,Asian,86,87,87
Science,Asian,84,84,84
English: Reading,Black,60,60,60
English: Writing,Black,47,49,61
History and Social Sciences,Black,47,48,49
Mathematics,Black,49,54,57
Science,Black,46,49,53
English: Reading,Economically Disadvantaged,59,59,60
English: Writing,Economically Disadvantaged,49,49,63
History and Social Sciences,Economically Disadvantaged,51,52,52
Mathematics,Economically Disadvantaged,52,55,58
Science,Economically Disadvantaged,49,51,54
English: Reading,English Learners,32,32,33
English: Writing,English Learners,18,19,26
History and Social Sciences,English Learners,30,32,36
Mathematics,English Learners,36,41,42
Science,English Learners,20,25,29
English: Reading,Female,76,75,75
English: Writing,Female,71,71,80
History and Social Sciences,Female,65,64,64
Mathematics,Female,67,69,71
Science,Female,64,66,68
English: Reading,Hispanic,60,59,59
English: Writing,Hispanic,56,56,66
History and Social Sciences,Hispanic,56,55,56
Mathematics,Hispanic,53,56,58
Science,Hispanic,50,52,54
English: Reading,Male,71,70,71
English: Writing,Male,59,58,71
History and Social Sciences,Male,67,66,66
Mathematics,Male,66,69,71
Science,Male,66,67,69
English: Reading,Multiple Races,78,77,78
English: Writing,Multiple Races,69,68,81
History and Social Sciences,Multiple Races,69,69,69
Mathematics,Multiple Races,70,73,75
Science,Multiple Races,71,72,74
English: Reading,Students with Disabilities,43,44,45
English: Writing,Students with Disabilities,24,24,36
History and Social Sciences,Students with Disabilities,35,35,35
Mathematics,Students with Disabilities,39,43,45
Science,Students with Disabilities,36,38,40
English: Reading,White,82,81,82
English: Writing,White,73,73,85
History and Social Sciences,White,76,76,75
Mathematics,White,76,79,81
Science,White,76,78,79
