Level,Div Num,Div Name,Subject,Subgroup,2020-2021 Pass Rate,2021-2022 Pass Rate,2022-2023 Pass Rate
Div,1,Accomack County ,English: Reading,All Students,59,67,67
Div,1,Accomack County ,English: Writing,All Students,57,63,62
Div,1,Accomack County ,History and Social Sciences,All Students,30,53,59
Div,1,Accomack County ,Mathematics,All Students,44,63,66
Div,1,Accomack County ,Remote Mathematics,All Students,<,,
Div,1,Accomack County ,Remote English: Reading,All Students,<,,
Div,1,Accomack County ,Science,All Students,48,61,63
Div,1,Accomack County ,English: Reading,Asian,90,94,89
Div,1,Accomack County ,English: Writing,Asian,<,<,<
Div,1,Accomack County ,History and Social Sciences,Asian,<,<,<
Div,1,Accomack County ,Mathematics,Asian,79,94,94
Div,1,Accomack County ,Science,Asian,<,<,100
Div,1,Accomack County ,English: Reading,Black,48,57,58
Div,1,Accomack County ,English: Writing,Black,39,49,48
Div,1,Accomack County ,History and Social Sciences,Black,17,40,45
Div,1,Accomack County ,Mathematics,Black,28,53,55
Div,1,Accomack County ,Remote English: Reading,Black,<,,
Div,1,Accomack County ,Remote Mathematics,Black,<,,
Div,1,Accomack County ,Science,Black,30,46,46
Div,1,Accomack County ,English: Reading,Economically Disadvantaged,53,62,63
Div,1,Accomack County ,English: Writing,Economically Disadvantaged,45,56,57
Div,1,Accomack County ,History and Social Sciences,Economically Disadvantaged,20,47,55
Div,1,Accomack County ,Mathematics,Economically Disadvantaged,35,58,63
Div,1,Accomack County ,Remote English: Reading,Economically Disadvantaged,<,,
Div,1,Accomack County ,Remote Mathematics,Economically Disadvantaged,<,,
Div,1,Accomack County ,Science,Economically Disadvantaged,36,54,59
Div,1,Accomack County ,English: Reading,English Learners,26,38,37
Div,1,Accomack County ,English: Writing,English Learners,8,13,14
Div,1,Accomack County ,History and Social Sciences,English Learners,0,39,39
Div,1,Accomack County ,Mathematics,English Learners,25,46,47
Div,1,Accomack County ,Science,English Learners,13,28,31
Div,1,Accomack County ,English: Reading,Female,62,70,70
Div,1,Accomack County ,English: Writing,Female,63,69,71
Div,1,Accomack County ,History and Social Sciences,Female,28,52,57
Div,1,Accomack County ,Mathematics,Female,43,64,68
Div,1,Accomack County ,Remote Mathematics,Female,<,,
Div,1,Accomack County ,Remote English: Reading,Female,<,,
Div,1,Accomack County ,Science,Female,51,61,63
Div,1,Accomack County ,English: Reading,Hispanic,56,65,63
Div,1,Accomack County ,English: Writing,Hispanic,56,62,64
Div,1,Accomack County ,History and Social Sciences,Hispanic,23,55,59
Div,1,Accomack County ,Mathematics,Hispanic,49,64,67
Div,1,Accomack County ,Science,Hispanic,45,59,63
Div,1,Accomack County ,English: Reading,Male,57,64,65
Div,1,Accomack County ,English: Writing,Male,51,57,54
Div,1,Accomack County ,History and Social Sciences,Male,31,54,61
Div,1,Accomack County ,Mathematics,Male,45,62,65
Div,1,Accomack County ,Remote Mathematics,Male,<,,
Div,1,Accomack County ,Remote English: Reading,Male,<,,
Div,1,Accomack County ,Science,Male,45,60,62
Div,1,Accomack County ,English: Reading,Multiple Races,56,74,72
Div,1,Accomack County ,English: Writing,Multiple Races,42,58,71
Div,1,Accomack County ,History and Social Sciences,Multiple Races,36,58,68
